id,Clarity,Coverage of Essential Topics,Factual Accuracy,Organization,Usefulness
1,4.3,4.1,4.3,4.3,4.3
2,4.2,4.1,4.4,4.6,3.8
3,4.4,3.8,4.6,4.0,4.4
4,4.7,4.1,4.6,4.5,4.5
5,4.1,4.1,4.5,4.1,4.2
6,4.1,3.8,4.5,4.1,4.7
7,4.7,4.6,4.8,4.3,3.9
8,4.4,4.1,4.4,4.0,3.7
9,4.1,3.6,4.6,4.1,3.6
10,4.4,4.2,4.5,3.9,4.5
11,4.1,3.7,4.5,4.9,4.3
12,4.1,4.2,4.7,4.3,4.1
13,4.3,4.3,4.7,4.1,4.2
14,3.6,3.8,4.7,4.4,3.8
15,3.7,4.3,4.8,4.3,4.8
16,4.0,4.1,4.5,4.2,4.1
17,3.9,4.2,4.6,4.5,4.1
18,4.3,4.6,4.4,4.5,4.3
19,3.9,3.9,4.6,4.1,4.2
20,3.8,3.8,4.5,4.1,4.2
21,4.6,3.7,4.5,4.2,3.9
22,4.1,3.8,4.6,3.6,4.2
23,4.2,4.0,4.3,3.8,4.7
24,3.8,4.1,4.9,4.7,4.5
25,4.0,4.1,4.3,4.8,4.6
26,4.2,4.2,4.3,4.2,3.9
27,3.9,4.0,4.7,4.5,3.8
28,4.3,4.4,4.7,4.4,4.1
29,4.0,3.9,4.6,5.0,4.1
30,4.1,4.8,4.6,4.6,4.4
31,4.0,4.2,4.5,4.3,3.6
32,4.8,3.7,4.3,4.0,4.6
33,4.2,3.7,4.5,3.8,4.1
34,3.9,4.1,4.4,4.4,4.0
35,4.4,3.9,4.7,4.1,3.8
36,3.8,4.2,4.5,3.9,3.6
37,4.3,4.1,4.3,4.1,4.3
38,3.6,4.0,4.4,4.0,4.1
39,3.8,3.7,4.6,4.8,3.7
40,4.3,3.5,4.4,4.6,3.7
41,4.4,3.9,4.3,4.3,4.0
42,4.3,4.3,4.5,4.7,4.6
43,4.2,4.1,4.5,4.3,4.0
44,4.1,3.6,4.4,4.0,3.6
45,3.8,4.1,4.4,4.8,4.0
46,4.0,4.1,4.5,4.5,4.0
47,4.1,3.7,4.2,4.0,3.3
48,4.5,4.0,4.2,4.2,4.1
49,4.3,4.0,4.4,4.0,4.0
50,3.7,3.7,4.5,3.9,4.3
51,4.3,4.1,4.6,4.6,4.7
52,4.1,4.2,4.8,4.9,4.4
53,4.0,4.3,4.7,3.9,4.0
54,4.4,4.3,4.5,4.5,3.8
55,4.5,3.6,4.5,4.1,4.9
56,4.5,3.7,4.3,4.2,4.1
57,3.9,4.2,4.5,4.1,4.1
58,4.1,4.2,4.4,4.0,4.1
59,4.3,4.2,4.6,4.3,4.2
60,4.5,5.0,4.3,4.1,4.1
61,4.1,4.2,4.6,4.4,3.9
62,4.1,4.3,4.8,4.3,3.9
63,3.9,4.3,4.5,4.2,4.1
64,3.8,4.2,4.6,4.0,3.9
65,4.4,3.9,4.6,4.1,3.9
66,4.6,4.2,4.4,4.5,4.1
67,4.2,3.8,4.5,4.5,4.0
68,4.5,3.9,4.5,4.0,4.6
69,4.3,3.9,4.5,4.3,3.3
70,4.0,4.0,4.3,4.5,4.4
71,4.3,4.7,4.5,3.8,4.5
72,4.7,3.4,4.6,4.5,3.5
73,4.2,4.2,4.8,4.1,4.0
74,4.7,3.5,4.7,4.5,4.0
75,3.4,3.9,4.9,4.1,3.7
76,4.4,4.3,4.3,3.8,3.9
77,4.2,4.0,4.7,3.8,3.8
78,4.1,3.7,4.5,4.3,4.6
79,4.2,3.8,4.9,4.4,4.4
80,3.6,4.2,4.3,4.0,4.5
81,4.1,3.8,4.3,4.5,4.3
82,4.3,4.1,4.4,3.8,3.8
83,4.6,4.0,4.1,4.3,3.9
84,4.0,3.8,4.4,3.9,4.2
85,4.0,4.6,4.3,4.1,3.7
86,4.0,4.2,4.5,4.3,4.3
87,4.5,3.4,4.6,4.0,4.0
88,4.3,4.1,4.9,4.2,4.0
89,4.0,3.8,4.7,4.6,4.3
90,4.4,4.3,4.4,4.1,4.2
91,4.2,3.8,4.3,4.6,4.0
92,4.5,4.0,4.6,4.0,4.4
93,4.0,4.2,4.2,4.5,3.8
94,4.1,4.3,4.9,4.7,4.3
95,4.1,3.6,4.7,3.6,4.3
96,3.8,3.9,4.4,4.1,4.0
97,4.3,3.9,4.2,4.5,4.2
98,4.3,3.8,4.8,4.2,3.7
99,4.2,4.5,4.5,4.4,4.4
100,4.1,4.1,4.7,4.1,4.0
101,3.8,3.6,4.2,4.3,3.9
102,4.1,4.3,4.4,4.3,4.4
103,4.1,4.6,4.5,4.7,3.9
104,4.0,4.3,4.5,4.4,3.7
105,4.2,3.5,4.4,4.4,3.6
106,4.3,3.9,4.6,4.2,4.3
107,4.8,4.4,4.3,4.2,3.7
108,4.3,3.8,4.5,4.2,4.6
109,4.3,4.1,4.5,4.4,3.5
110,4.2,4.2,4.6,4.2,4.6
111,3.6,3.7,4.6,4.4,4.2
112,4.2,4.0,4.3,4.9,4.1
113,4.2,3.0,4.2,4.6,3.9
114,4.9,3.7,4.8,4.2,4.2
115,4.1,3.9,4.6,4.7,4.1
116,4.3,3.6,4.4,4.2,4.4
117,4.2,4.5,4.8,3.7,4.1
118,3.8,3.6,4.5,4.0,4.1
119,4.5,3.9,4.7,3.7,4.0
120,4.4,4.0,4.5,4.2,4.1
121,4.4,4.4,4.9,4.3,4.2
122,3.9,3.6,4.9,4.8,3.6
123,4.6,4.3,4.5,4.4,3.7
124,3.8,4.0,4.7,4.2,4.3
125,4.4,3.7,4.6,4.5,4.2
126,4.9,4.1,4.8,3.6,4.0
127,3.9,4.1,4.3,4.4,4.1
128,4.0,3.8,4.6,4.5,4.2
129,4.2,4.0,4.7,3.9,3.9
130,4.0,3.9,4.1,4.6,3.9
131,3.7,4.0,4.3,4.4,4.2
132,4.2,4.2,4.1,4.2,3.8
133,3.9,4.5,4.4,4.5,4.2
134,4.3,3.6,4.6,5.0,3.6
135,3.9,4.6,4.8,4.4,4.4
136,4.7,3.4,4.5,4.4,4.2
137,4.0,4.0,4.8,4.2,4.2
138,4.1,4.2,4.2,4.0,4.4
139,4.4,4.1,4.2,4.5,4.6
140,3.8,3.8,4.5,4.0,4.4
141,4.3,3.9,4.6,4.3,3.5
142,4.6,3.9,4.5,4.2,3.7
143,3.7,3.8,4.1,4.4,3.9
144,4.3,4.3,4.5,4.4,4.1
145,4.3,4.1,4.2,4.6,4.3
146,4.4,3.8,4.6,4.1,3.9
147,3.8,4.3,4.6,4.2,4.2
148,3.8,4.1,4.3,4.0,3.9
149,4.4,4.2,4.4,4.2,3.9
150,4.3,4.2,4.3,4.4,3.7
